"Species" "y1" "y2" "y3" "y4"
"1" 1 189 245 137 163
"2" 1 192 260 132 217
"3" 1 217 276 141 192
"4" 1 221 299 142 213
"5" 1 171 239 128 158
"6" 1 192 262 147 173
"7" 1 213 278 136 201
"8" 1 192 255 128 185
"9" 1 170 244 128 192
"10" 1 201 276 146 186
"11" 1 195 242 128 192
"12" 1 205 263 147 192
"13" 1 180 252 121 167
"14" 1 192 283 138 183
"15" 1 200 294 138 188
"16" 1 192 277 150 177
"17" 1 200 287 136 173
"18" 1 181 255 146 183
"19" 1 192 287 141 198
"20" 2 181 305 184 209
"21" 2 158 237 133 188
"22" 2 184 300 166 231
"23" 2 171 273 162 213
"24" 2 181 297 163 224
"25" 2 181 308 160 223
"26" 2 177 301 166 221
"27" 2 198 308 141 197
"28" 2 180 286 146 214
"29" 2 177 299 171 192
"30" 2 176 317 166 213
"31" 2 192 312 166 209
"32" 2 176 285 141 200
"33" 2 169 287 162 214
"34" 2 164 265 147 192
"35" 2 181 308 157 204
"36" 2 192 276 154 209
"37" 2 181 278 149 235
"38" 2 175 271 140 192
"39" 2 197 303 170 205
